News Link,Website
https://amandpune.org/,Google Search
https://www.facebook.com/amandpuneorg/,Google Search
https://amandpune.org/about-us/,Google Search
https://www.facebook.com/amandpuneorg/posts/the-association-of-manipuri-diaspora-amand-pune-is-a-registered-nonprofit-non-go/2887783628125069/,Google Search
http://e-pao.net/epSubPageSelector.asp?src=AMAND_Pune_released_2022_calendar_20220104&ch=news_section&sub1=Press_Release&sub2=Press_Release_2022,Google Search
https://www.punekarnews.in/association-of-manipuri-diaspora-pune-observes-82nd-nupi-lan-memorial/,Google Search
https://indianexpress.com/article/cities/pune/manipur-violence-community-pune-peace-8602718/,Google Search
https://www.krctimes.com/news/amand-holds-peace-rally-in-pune-for-manipur-violence/,Google Search
http://e-pao.net/epSubPageExtractor.asp?src=news_section.Press_Release.Press_Release_2023.Mass_gathering_for_peace_and_harmony_at_Pune_20230511,Google Search
https://www.punekarnews.in/barbaric-acts-towards-women-manipuri-diaspora-in-pune-condemns-shocking-assaults-and-calls-for-justice/,Google Search
https://kanglaonline.in/2012/05/pr-association-of-manipuri-diaspora-amand-pune/,Google Search
http://www.manipur.org/news/tag/amand-pune/,Google Search
https://indianexpress.com/article/cities/pune/manipuris-pune-hold-silent-peace-rally-8600010/,Google Search
https://punemirror.com/pune/others/we-want-peace-and-unity-in-manipur/cid1683831302.htm,Google Search
https://www.imphaltimes.com/news/association-of-manipuri-diaspora-pune-organizes-10th-agm-cum-annual-cultural-program/,Google Search
https://www.thesangaiexpress.com/Encyc/2020/10/6/AMAND-convenes-9th-annual-meeting-.html,Google Search
https://www.mypunepulse.com/tag/amand/,Google Search
https://punemirror.com/pune/others/manipuris-in-pune-to-take-out-silent-rally-for-peace/cid1683663174.htm,Google Search
http://www.manipur.org/news/tag/amand/,Google Search
https://www.instagram.com/p/CmJCTFhLh49/,Google Search
https://thenortheastaffairs.com/manipuri-diaspora-pune-holds-annual-cultural-meet/,Google Search
https://twitter.com/amandpune,Google Search
https://www.imphaltimes.com/news/amand-celebrates-international-women-s-day-by-visiting-orphan-home-at-pune/,Google Search
https://kanglaonline.in/2014/10/amand-pune-pr-ningol-chakouba-at-pune-2014/,Google Search
https://timesofindia.indiatimes.com/city/pune/a-silent-prayer-for-peace-and-harmony-in-manipur/articleshow/100145413.cms,Google Search
https://www.mypunepulse.com/tag/association-of-manipuri-diaspora/,Google Search
https://www.ifp.co.in/manipur/amand-observes-nupi-lal-day,Google Search
https://www.hoten.life/topics/502/update/5108/amand-pune-has-observed-the-82nd-nupi-la,Google Search
https://botostore.com/c/amandpuneorg/,Google Search
https://www.manipuruniv.ac.in/news/lamjing-meira-amand-ladies-club-talk-show,Google Search
https://www.thesangaiexpress.com/Encyc/2022/4/15/IMPHAL-Apr-15The-AMAND-Ladies-Club-ALC-a-women-s-wing-of-the-Association-of-Manipuri-Diaspora.html,Google Search
https://twitter.com/epaomanipur/status/1588124863759192066,Google Search
https://www.hoten.life/topics/491/update/6465/the-amand-ladies-club-alc-organized-the-unique-traditional-festival-of-shajibu-cheiraoba-2022,Google Search
https://manipurtimes.com/one-day-workshop-cum-interaction-program-on-women-health-and-its-related-issues-organised-by-amand-ladies-club/,Google Search
https://m.facebook.com/amandpuneorg/videos/1878055059097936/,Google Search
https://thenortheastaffairs.com/manipuri-diaspora-pune-observes-82nd-nupi-lal/,Google Search
https://timesofindia.indiatimes.com/city/guwahati/pune-manipuris-book-hall-to-watch-biopic/articleshow/42093162.cms,Google Search
https://www.linkedin.com/posts/reet-mulchandani-57385023a_love-pune-manipur-activity-7063425574387527680-CP7F,Google Search
https://www.facebook.com/amandpuneorg/videos/melei-charong/395158572012591/,Google Search
https://vymaps.com/IN/Amand-Pune-2210773879159384/,Google Search
https://www.asianprimenews.com/news/peaceful-protest-to-save-the-integrity-of-manipur/,Google Search
https://www.facebook.com/amandpuneorg/videos/manipuri-theatre-academy-mta-presents-mareibak-ningba-koirengsana-in-pune-on-the/760537791945327/?locale=ms_MY,Google Search
https://en.wikipedia.org/wiki/Sajibu_Nongma_Panba,Google Search
http://hueiyenlanpao.com/mmedition/pdf/manipuri/2014/Oct_27/B3.pdf/,Google Search
https://manipurtimes.com/category/press-release/page/5/?filter_by=popular,Google Search
https://www.facebook.com/shijahospitals/videos/episode-no-33/1683243185175018/,Google Search
https://punjabnewsnetwork.in/news/29703,Google Search
https://www.manipuruniv.ac.in/gallery/229,Google Search
https://www.hindustanmetro.com/peaceful-protest-to-save-the-integrity-of-manipur/,Google Search
https://www.instagram.com/nir_luwang/?hl=en,Google Search
https://en.wikipedia.org/wiki/Ningol_Chakouba,Google Search
https://www.facebook.com/amandpuneorg/videos/song-by-reha-irom/549188485530865/,Google Search
https://d.facebook.com/amandpuneorg/videos/as-indicated-by-miss-mangka-mayanglambam-during-amand-agm-2021-performance-she-i/377797304027738/,Google Search
https://byjus.com/cbse-notes/class-10-english-amanda-summary/,Google Search
https://byjus.com/full-form/am-and-pm-full-form/,Google Search
https://www.mapsofindia.com/maps/delhi/delhi-metro-map.html,Google Search
https://www.anandgroupindia.com/,Google Search
https://www.facebook.com/amandpuneorg/videos/11th-agm-cum-annual-cultural-program-2022/667914938106738/,Google Search
https://5yt9jnp07de43.xn--80anb0aehv.xn--p1ai/,Google Search
